,Video,Camera,Colony,Density,First_frame,Last_frame,Order
0,GP014620,1,1,high,0,1055,0
1,GP024620,1,1,high,0,1055,1
2,GP034620,1,1,high,0,1055,2
3,GP044620,1,1,high,0,1055,3
4,GP054620,1,1,high,0,1055,4
5,GP064620,1,1,high,0,1055,5
6,GP074620,1,1,high,0,1055,6
7,GP084620,1,1,high,0,1055,7
8,GP094620,1,1,high,0,1055,8
9,GP104620,1,1,high,0,1055,9
10,GP114620,1,1,high,0,1055,10
11,GP124620,1,1,high,0,1055,11
12,GP134620,1,1,high,0,1055,12
13,GP144620,1,1,high,0,791,13
14,GP014633,1,1,low,0,1055,0
15,GP024633,1,1,low,0,1055,1
16,GP034633,1,1,low,0,1055,2
17,GP044633,1,1,low,0,1055,3
18,GP054633,1,1,low,0,1055,4
19,GP064633,1,1,low,0,1055,5
20,GP074633,1,1,low,0,1055,6
21,GP084633,1,1,low,0,1055,7
22,GP094633,1,1,low,0,1055,8
23,GP104633,1,1,low,0,1055,9
24,GP114633,1,1,low,0,1055,10
25,GP124633,1,1,low,0,1055,11
26,GP134633,1,1,low,0,1055,12
27,GP144633,1,1,low,0,1055,13
28,GOPR4656,2,1,low,1056,1565,0
29,GP014656,2,1,low,0,1564,1
30,GP024656,2,1,low,0,1565,2
31,GP034656,2,1,low,0,1564,3
32,GP044656,2,1,low,0,1565,4
33,GP054656,2,1,low,0,1564,5
34,GP064656,2,1,low,0,1565,6
35,GP074656,2,1,low,0,1564,7
36,GP084656,2,1,low,0,1565,8
37,GP094656,2,1,low,0,1564,9
38,GOPR4652,3,1,low,1058,1565,0
39,GP014652,3,1,low,0,1564,1
40,GP024652,3,1,low,0,1565,2
41,GP034652,3,1,low,0,1564,3
42,GP044652,3,1,low,0,1565,4
43,GP054652,3,1,low,0,1564,5
44,GP064652,3,1,low,0,1565,6
45,GP074652,3,1,low,0,1564,7
46,GP084652,3,1,low,0,1565,8
47,GP094652,3,1,low,0,1564,9
48,GOPR4657,4,1,low,1061,1565,0
49,GP014657,4,1,low,0,1564,1
50,GP024657,4,1,low,0,1565,2
51,GP034657,4,1,low,0,1564,3
52,GP044657,4,1,low,0,1565,4
53,GP054657,4,1,low,0,1564,5
54,GP064657,4,1,low,0,1565,6
55,GP074657,4,1,low,0,1564,7
56,GP084657,4,1,low,0,1565,8
57,GP094657,4,1,low,0,1564,9
58,GP014647,1,2,high,0,1055,0
59,GP024647,1,2,high,0,1055,1
60,GP034647,1,2,high,0,1055,2
61,GP044647,1,2,high,0,1055,3
62,GP054647,1,2,high,0,1055,4
63,GP064647,1,2,high,0,1055,5
64,GP074647,1,2,high,0,1055,6
65,GP084647,1,2,high,0,1055,7
66,GP094647,1,2,high,0,1055,8
67,GP104647,1,2,high,0,1055,9
68,GP114647,1,2,high,0,1055,10
69,GP124647,1,2,high,0,1055,11
70,GP134647,1,2,high,0,1055,12
71,GP144647,1,2,high,0,1055,13
72,GP014659,1,2,low,0,1055,0
73,GP024659,1,2,low,0,1055,1
74,GP034659,1,2,low,0,1055,2
75,GP044659,1,2,low,0,1055,3
76,GP054659,1,2,low,0,1055,4
77,GP064659,1,2,low,0,1055,5
78,GP074659,1,2,low,0,1055,6
79,GP084659,1,2,low,0,1055,7
80,GP094659,1,2,low,0,1055,8
81,GP104659,1,2,low,0,1055,9
82,GP114659,1,2,low,0,1055,10
83,GP124659,1,2,low,0,1055,11
84,GP134659,1,2,low,0,1055,12
85,GP144659,1,2,low,0,796,13
86,GOPR4673,2,2,low,1058,1565,0
87,GP014673,2,2,low,0,1564,1
88,GP024673,2,2,low,0,1565,2
89,GP034673,2,2,low,0,1564,3
90,GP044673,2,2,low,0,1565,4
91,GP054673,2,2,low,0,1564,5
92,GP064673,2,2,low,0,1565,6
93,GP074673,2,2,low,0,1564,7
94,GP084673,2,2,low,0,1565,8
95,GP094673,2,2,low,0,1564,9
96,GOPR0035,3,2,low,1061,1565,0
97,GP010035,3,2,low,0,1564,1
98,GP020035,3,2,low,0,1565,2
99,GP030035,3,2,low,0,1564,3
100,GP040035,3,2,low,0,1565,4
101,GP050035,3,2,low,0,1564,5
102,GP060035,3,2,low,0,1565,6
103,GP070035,3,2,low,0,1564,7
104,GP080035,3,2,low,0,1565,8
105,GP090035,3,2,low,0,1564,9
106,GOPR4673,4,2,low,1064,1565,0
107,GP014673,4,2,low,0,1564,1
108,GP024673,4,2,low,0,1565,2
109,GP034673,4,2,low,0,1564,3
110,GP044673,4,2,low,0,1565,4
111,GP054673,4,2,low,0,1564,5
112,GP064673,4,2,low,0,1565,6
113,GP074673,4,2,low,0,1564,7
114,GP084673,4,2,low,0,1565,8
