colony,density,camera,coordinate,top_right,bottom_right,entrance_left,entrance_right,entrance_top_of_wall,exit_left,exit_right,exit_bottom_of_wall,wall_tr,wall_br,wall_tl,wall_bl,top_left
1,high,1,x,1777,1791,265,397,395,NA,NA,NA,1480,1479,248,249,240
1,high,1,y,62,1004,1080,1080,1023,NA,NA,NA,504,577,520,591,89
1,low,1,x,1758,1757,239,360,363,NA,NA,NA,1453,1451,222,224,226
1,low,1,y,41,982,1044,1046,976,NA,NA,NA,474,549,470,539,38
1,low,2,x,1630,1614,202,323,326,212,335,336,1342,1341,202,201,NA
1,low,2,y,107,967,997,1008,943,16,17,91,501,566,485,543,NA
1,low,3,x,1680,1690,304,411,411,305,431,431,1432,1431,294,292,NA
1,low,3,y,117,965,1036,1039,967,55,53,112,515,577,514,579,NA
1,low,4,x,1628,1624,225,353,351,244,360,360,1383,1381,229,229,NA
1,low,4,y,102,964,1013,1018,958,36,30,100,497,563,487,553,NA
2,high,1,x,1739,1744,202,336,336,NA,NA,NA,1451,1452,192,192,197
2,high,1,y,31,967,1048,1052,984,NA,NA,NA,473,545,497,556,54
2,low,1,x,1723,1733,190,330,328,NA,NA,NA,1441,1442,182,182,184
2,low,1,y,26,961,1049,1051,982,NA,NA,NA,467,541,502,558,54
2,low,2,x,1613,1604,207,332,333,225,360,362,1322,1319,210,210,NA
2,low,2,y,141,995,1044,1048,985,73,71,123,541,603,518,583,NA
2,low,3,x,1620,1610,214,343,345,220,361,362,1321,1319,214,214,NA
2,low,3,y,127,979,1014,968,1020,45,42,106,520,585,504,571,NA
2,low,4,x,1636,1645,246,348,344,230,343,342,1346,1347,227,229,NA
2,low,4,y,89,945,1023,1024,972,58,54,112,506,574,537,592,NA
3,high,1,x,1736,1735,211,336,335,NA,NA,NA,1434,1433,210,210,218
3,high,1,y,32,980,1048,1054,988,NA,NA,NA,464,533,464,532,39
3,low,1,x,1704,1703,178,306,303,NA,NA,NA,1402,1402,182,182,195
3,low,1,y,28,972,1039,1042,982,NA,NA,NA,458,534,495,526,36
3,low,2,x,1637,1626,229,353,355,258,384,384,1329,1329,233,232,NA
3,low,2,y,167,1021,1059,1064,1001,78,76,140,550,618,529,594,NA
3,low,3,x,1650,1658,261,380,378,264,388,386,1385,1385,256,256,NA
3,low,3,y,151,1008,1074,1076,1076,106,101,152,550,612,557,623,NA
3,low,4,x,1646,1640,258,356,355,272,378,376,1397,1398,259,258,NA
3,low,4,y,103,964,998,1001,958,29,30,88,491,556,478,543,NA
